1462.0776734816843 -1686.61567019373 ; 1445.211516779747 -1701.236446928547 
230.4768046185512 -942.2805394434099 ; 221.0539992241171 -944.5853074895954 
-189.04766598983164 -304.24749721480737 ; -192.09014096197973 -302.35702055490907 
1792.4445814219841 -352.3415463813896 ; 1788.9211659581701 -370.26599219560944 
-290.2508944873506 226.9740897207135 ; -287.98115359014344 229.876598665587 
-1617.1665462473725 1831.9420024513447 ; -1598.847126222859 1848.1136679138185 
1546.724620521186 -34.75780957359044 ; 1546.37704242545 -50.2250557788023 
1923.7291045990855 399.5331860851373 ; 1927.724436459937 380.29589503914644 
-1900.2459118365746 -1485.9206381418883 ; -1915.1051182179935 -1466.9181790235225 
1780.6697092563404 -1084.59091564275 ; 1769.823800099913 -1102.3976127353133 
-784.5302889307662 417.0287284149417 ; -780.3600016466169 424.8740313042494 
-504.92353434731774 -215.37219297314005 ; -507.0772562770491 -210.32295762966686 
835.8594297242471 1400.9024149525908 ; 849.868453873773 1392.5438206553483 
1889.961250279149 -105.18812300139282 ; 1888.909369049135 -124.08773550418431 
-461.14509838224865 1986.5551834449222 ; -441.27954654779944 1991.1666344287448 
-1567.3177165980417 -1717.123423422722 ; -1584.488950832269 -1701.4502462567416 
975.1685333885404 -825.9960342297948 ; 966.9085730462424 -835.7477195636801 
-903.4804016113222 1504.304848237366 ; -888.4373531289485 1513.3396522534792 
-951.2227822274588 866.2975944961695 ; -942.5598062824971 875.809822318444 
1006.5021636796055 1069.7757702565227 ; 1017.1999213821707 1059.7107486197267 
-1860.7233599532483 -1272.182767195911 ; -1873.4451876252074 -1253.5755335963786 
-1562.5834920939596 219.46211152561037 ; -1560.3888709787036 235.08794644654998 
757.9991936307027 -640.2635361419115 ; 751.5965582692836 -647.8435280782185 
-1215.1609027170146 451.9453942918979 ; -1210.6414487740956 464.09700331906805 
572.9563149344666 1017.3256570629528 ; 583.1295715050961 1011.5960939136081 
-1772.403994690739 -1206.8362681843355 ; -1784.4723573725823 -1189.112228237428 
1230.4837545399585 1617.8675905327866 ; 1246.6624304452864 1605.562752987387 
1750.348803669227 -1654.5730672255816 ; 1733.8030729969712 -1672.0765552622738 
132.2454201076451 -459.6651431383106 ; 127.64876867626198 -460.98759733938704 
-345.9952804124786 -697.4863694507345 ; -352.97014410698597 -694.0264166466097 
1166.5837727308012 -153.7947446894283 ; 1165.0458252839069 -165.46058241673632 
104.59233103761193 -1695.2423843034103 ; 87.63990719457783 -1696.2883076137864 
1612.0945907981024 -1257.1798275021592 ; 1599.5227925230809 -1273.3007734101402 
-839.6624670415475 307.303659201106 ; -836.5894304495365 315.70028387152144 
1950.7950106165233 1770.2755336613573 ; 1968.4977659531369 1750.767583555192 
-1330.423642801663 -865.030325563449 ; -1339.0739460572975 -851.7260891354323 
-588.3989411002843 1442.6059844831063 ; -573.9728812554532 1448.4899738941092 
999.6726764142218 -188.38683455785423 ; 997.7888080686432 -198.38356132199644 
-750.3237630238208 537.2273686658968 ; -744.9514893371618 544.7306062961351 
1528.6356214021125 -1920.5544015096598 ; 1509.430077387016 -1935.840757723681 
1349.3086475382102 -1020.1266281611904 ; 1339.1073812565983 -1033.6197146365726 
1583.859525998543 132.83666145548747 ; 1585.1878926130978 116.99806619550205 
-544.7978928705675 -671.4275580155452 ; -551.5121684507229 -665.9795790868395 
82.37990411544484 -1067.581521558515 ; 71.7040888998597 -1068.4053205996695 
711.4665545688622 1069.4421745286138 ; 722.1609763141483 1062.327508982925 
-1897.0906141569185 561.585365150772 ; -1891.4747605054108 580.5562712923412 
1242.6263282486552 5.364120078564613 ; 1242.679969449441 -7.062143203921939 
353.35201244353004 1758.6746481731473 ; 370.93875892526154 1755.141128048712 
-1275.9471716635144 1347.7917790405816 ; -1262.4692538731085 1360.5512507572166 
-834.3187276569136 -941.0183560585392 ; -843.728911217499 -932.6751687819701 
215.97675190080793 157.1549796660638 ; 217.54830169746856 154.99521214705572 
-1011.6571423244017 974.6456135752669 ; -1001.910686188649 984.762184998511 
-130.15634331797025 -797.2555255407253 ; -138.1288985733775 -795.9539621075456 
-910.205905049119 -1329.667519484091 ; -923.5025802439599 -1320.5654604335998 
1677.9008722552073 1729.9297023357178 ; 1695.2001692785645 1713.1506936131657 
-811.9191577996077 557.0239210927062 ; -806.3489185886806 565.1431126707023 
-177.48399684528448 -858.147652441832 ; -186.0654733697028 -856.3728124733791 
-1360.5761352415739 -5.077902446078197 ; -1360.6269142660346 8.527858906337542 
72.97660606086046 1776.8775916503746 ; 90.7453819773642 1776.147825589766 
-1373.1964748723503 -488.11119493295104 ; -1378.07758682168 -474.37923018422754 
-866.452597656713 1896.7365085775798 ; -847.4852325709372 1905.401034554147 
-279.60698045911244 1397.2041549020055 ; -265.6349389100924 1400.0002247065966 
1530.2454047658118 -438.6007244881771 ; 1525.85939752093 -453.9031785358352 
-1724.0242638032155 1558.8042226824305 ; -1708.4362215763913 1576.0444653204627 
336.0212591738519 -1195.5998077707884 ; 324.065261096144 -1198.9600203625268 
-1355.4313552633348 1771.4141524323466 ; -1337.7172137390114 1784.96846598498 
1238.410468919501 -1627.4880554348933 ; 1222.135588365152 -1639.8721601240884 
-816.2511244362958 -735.1543757354752 ; -823.6026681936505 -726.9918644911123 
1289.5997272889008 1847.8435569345297 ; 1308.078162858246 1834.9475596616408 
1448.513558984123 -487.3526699476522 ; 1443.6400322846464 -501.8378055374934 
1407.289765388989 -969.4774664284097 ; 1397.594990724705 -983.5503640822996 
-1968.968598875294 -513.9643892209988 ; -1974.108242767504 -494.2747032322458 
634.5868352276643 325.5331365949814 ; 637.8421665936141 319.18726824270476 
1819.6010113399043 1423.3106473649218 ; 1833.8341178135536 1405.1146372515227 
-1336.6418556871613 602.4541567140404 ; -1330.6173141200209 615.8205752709121 
-1632.9495390840675 -207.33287699661204 ; -1635.0228678540336 -191.00338160577138 
-1568.7570518962718 -495.5487508765222 ; -1573.712539405037 -479.8611803575595 
1004.5117270187379 -1143.8815098193566 ; 993.0729119205444 -1153.926627089544 
1728.0113481670546 -1190.2960654823394 ; 1716.1083875122313 -1207.5761789640098 
-299.54253646787686 -525.4568750910968 ; -304.7971052187878 -522.461449726418 
-1496.322538755534 -75.68462238024195 ; -1497.0793849793363 -60.72139699268661 
-48.929014943171175 302.5920313481367 ; -45.90309462968981 303.0813214975684 
1491.3785113885856 -1416.1242540953258 ; 1477.2172688476323 -1431.0380392092115 
-1306.0674389276703 -1296.2802744377614 ; -1319.0302416720479 -1283.2196000484846 
-373.99349067157465 712.2301084073833 ; -366.8711895875008 715.9700433140991 
-917.4858523611622 -1445.3033246288733 ; -931.938885607451 -1436.1284661052616 
706.2248683454819 -974.7358306169003 ; 696.477510039313 -981.7980793003552 
1559.9187666050332 -717.9289452522193 ; 1552.739477152511 -733.5281329182695 
1663.350957227511 -1233.8721823499584 ; 1651.0122354040113 -1250.5056919222336 
-118.07668718781858 1252.923397146935 ; -105.54745321634923 1254.1041640188132 
570.3363602865022 -1228.3371635978299 ; 558.052988650524 -1234.040527200695 
1892.9709302719655 82.75339917633947 ; 1893.7984642637289 63.82368987361981 
1859.6232270644443 -1881.876360626427 ; 1840.8044634581802 -1900.4725928970713 
-1256.791045235872 1281.7287513093477 ; -1243.9737577227784 1294.2966617617064 
-934.5275899519118 787.9149835327405 ; -926.6484401165843 797.2602594322597 
-1955.3683965513312 704.623050473861 ; -1948.3221660465927 724.1767344393743 
401.3931692143128 9.024125039500824 ; 401.48341046470784 5.010193347357696 
95.59465414450476 378.45691403899264 ; 99.37922328489469 377.5009674975476 
-1928.5632734888657 709.6892899522628 ; -1921.466380589343 728.9749226871514 
411.65776525141615 -269.91340235918767 ; 408.9586312278243 -274.0299800117018 
-989.8211082088926 -390.89776105934806 ; -993.7300858194861 -380.9995499772591 
1938.2769929012622 1383.548917727532 ; 1952.1124820785376 1364.1661477985194 
104.7193012432872 -1181.994353477725 ; 92.89935770850995 -1183.041546490158 
1306.7999893926 1147.3745254060327 ; 1318.2737346466604 1134.3065255121066 
-903.9921070212293 232.7127913174497 ; -901.6649791080548 241.752712387662 
627.0080546776419 -807.7179819882712 ; 618.9308748577591 -813.9880625350476 
-474.75518386842475 1745.8801585595454 ; -457.2963822828293 1750.6277103982297 
-449.86094004545174 63.55620496945499 ; -449.2253779957572 68.05481436990951 
-108.12922157068606 -617.841348877289 ; -114.30763505945895 -616.7600566615821 
927.1280522303945 504.637325729815 ; 932.1744254876926 495.3660452075111 
-1645.7984992868116 831.2249195352399 ; -1637.4862500914592 847.682904528108 
980.0648559659624 -1749.713510515577 ; 962.5677208608066 -1759.5141590752364 
635.1687195182895 -715.8027211746347 ; 628.0106923065432 -722.1544083698176 
-205.70569161923433 -1750.6169298469224 ; -223.21186091770355 -1748.55987293073 
-994.3775327882134 -40.88456192049183 ; -994.7863784074184 -30.94078659260969 
-340.8675703364967 -1901.1039176758386 ; -359.8786095132551 -1897.6952419724737 
-1146.6022962718268 -853.3202203546782 ; -1155.1354984753737 -841.8541973919599 
-1406.6013225996317 44.45268309923867 ; -1406.1567957686393 58.518696325234984 
-630.8462569256242 1028.4801604609086 ; -620.561455321015 1034.788623030165 
721.1908279183182 -517.9813791995823 ; 716.0110141263224 -525.1932874787655 
503.08082978949915 937.595593426009 ; 512.4567857237593 932.5647851281141 
-1063.33865430324 -956.0436607367735 ; -1072.8990909106078 -945.4102741937411 
1508.1277061499493 1864.3547320236137 ; 1526.7712534701855 1849.273454962114 
-1517.4416385038699 1975.8378654355008 ; -1497.6832598495148 1991.0122818205396 
-1915.7790143220545 1739.433762268433 ; -1898.3846766993702 1758.5915524116535 
447.69483063025433 -203.8293279426793 ; 445.65653735082753 -208.30627624898185 
-1095.0289887279262 -933.0764544367563 ; -1104.3597532722938 -922.126164549477 
489.7418321803162 1802.3809920960455 ; 507.7656421012766 1797.4835737742424 
1931.0646718578655 1928.14670914342 ; 1950.3461389492998 1908.8360624248412 
-503.27627264528456 595.9997860868484 ; -497.31627478441607 601.0325488133012 
-89.77449307452466 -662.5442090964463 ; -96.39993516548913 -661.646464165701 
120.66163555106434 1625.887392667818 ; 136.9205094777425 1624.6807763123072 
-592.7275610639857 1532.3717776608605 ; -577.4038432873771 1538.2990532715003 
-691.9654080112437 779.1959225539377 ; -684.1734487857043 786.1155766340502 
-756.3471555216663 -306.4711163698598 ; -759.4118666853649 -298.90764481464316 
-298.76558990477156 1666.3660343065626 ; -282.10192956170596 1669.3536902056103 
-601.6802609796697 -1051.8340485152237 ; -612.1986014648219 -1045.817245905427 
-941.0142678044995 1327.3815188880567 ; -927.7404526156189 1336.7916615661018 
421.4801004893494 -686.8565401469075 ; 414.6115350878803 -691.071341151801 
109.43594540689257 1075.8408269026334 ; 120.1943536759189 1074.7464674485643 
-1209.0078533069227 -722.4447501806214 ; -1216.232300808729 -710.3546716475522 
-1030.406580125484 1909.5310814976408 ; -1011.3112693105076 1919.8351472988957 
359.2175754912486 1396.0653200740019 ; 373.17822869198864 1392.4731443190894 
748.8467748319367 168.59021518346796 ; 750.5326769837714 161.10174743514858 
-1965.4839159349087 1222.7141730747242 ; -1953.2567742041615 1242.3690122340734 
1139.7810988080898 1899.1625895928332 ; 1158.7727247040182 1887.7647786047523 
719.9945725402765 -642.2144314171061 ; 713.5724282261054 -649.4143771425089 
1470.115435156155 1266.2421899005165 ; 1482.7778570551602 1251.5410355489548 
-1112.6437547058226 1937.9684909200787 ; -1093.264069796622 1949.094928467137 
1549.2106897146848 -821.5992220148227 ; 1540.9946974945365 -837.0913289119695 
-823.9031978579887 -608.3423087884609 ; -829.9866209458734 -600.103276809881 
-670.6634151150863 215.64986221634788 ; -668.5069164929229 222.35649636749875 
-79.5566668623064 -1411.1888668675608 ; -93.668555530982 -1410.3933001989378 
187.63507257399382 -1825.293651679681 ; 169.38213605719702 -1827.170002405421 
380.3194368632913 -541.9339818619513 ; 374.9000970446718 -545.7371762305843 
-210.20138781438527 859.6432361378309 ; -201.60495545300697 861.7452500159748 
1723.2299347219503 -842.260026459638 ; 1714.8073344573538 -859.4923258068575 
-1875.7682459689472 1502.7558963413567 ; -1860.7406870055336 1521.5135788010462 
-90.51805055334798 1607.7424726496558 ; -74.44062582685142 1608.6476531551893 
-1860.7743550935381 -1783.3411442941701 ; -1878.6077665364799 -1764.7334007432348 
-1516.7663582576013 -559.7526080629333 ; -1522.3638843382305 -544.5849444803573 
1249.3972958181662 -1611.103588768502 ; 1233.2862599304813 -1623.5975617266838 
410.27849577890356 767.2248848067306 ; 417.95074462697085 763.1220998489416 
1703.0043582226556 -39.0724368937764 ; 1702.6136338537178 -56.10248047600295 
336.45086190149294 -206.54767106348856 ; 334.3853851908581 -209.9121796825035 
418.1372610777388 -1363.4215430363915 ; 404.5030456473749 -1367.6029156471689 
-152.50095758627992 1919.3662564059998 ; -133.30729502221993 1920.8912659818627 
-1370.427098111624 -212.08216840699802 ; -1372.547919795694 -198.37789742588177 
-861.6521342839677 -498.13161390181347 ; -866.6334504229859 -489.5150925589738 
-390.0310177410488 -36.32533395088386 ; -390.39427108055764 -32.42502377347337 
807.8113977031397 319.439911227354 ; 811.0057968154133 311.3617972503226 
1502.3974203501734 -1826.6291583963864 ; 1484.1311287662095 -1841.653132599888 
-704.1755512367938 -243.11911283455328 ; -706.6067423651393 -236.07735732218535 
-1167.3847262597117 1429.656181200188 ; -1153.0881644477097 1441.330028462785 
-1024.0685912475683 -1026.6706315942406 ; -1034.3352975635107 -1016.4299456817649 
940.4873604534307 -1716.9580587542646 ; 923.317779865888 -1726.3629323587988 
1939.1754646802588 -1718.6826815281433 ; 1921.9886378649774 -1738.074436174946 
-1696.58000079588 -803.0065889868922 ; -1704.610066685749 -786.0407889789334 
-1773.6183014187066 1223.884166908149 ; -1761.379459749625 1241.620349922336 
1272.2823454559634 -1398.6307502578697 ; 1258.2960379533847 -1411.3535737124294 
648.4045435984134 802.6232643571112 ; 656.4307762419845 796.139218921127 
-306.43140661311287 638.4880816585055 ; -300.0465257965278 641.5523957246367 
1717.9886569077873 -1306.98322233188 ; 1704.9188246844685 -1324.1631089009577 
1354.0096202688308 1389.6526461070819 ; 1367.9061467299016 1376.1125499043935 
106.65799732332884 -577.2687760910834 ; 100.885309562418 -578.3353560643167 
49.973298010650495 1675.6465394930713 ; 66.72976340558121 1675.1468065129648 
623.0266265196118 -483.2390938091238 ; 618.1942355815205 -489.4693600743199 
1047.3030168338219 184.9372137715572 ; 1049.1523889715374 174.46418360321897 
-363.7312136542104 103.28853553549172 ; -362.69832829885553 106.92584767203383 
278.3677829916173 1989.3095761145169 ; 298.26087875276244 1986.5258982846008 
-1393.3152510048799 -201.37527554413518 ; -1395.3290037603213 -187.44212303408636 
251.15871500122987 1051.3916541003327 ; 261.6726315422332 1048.8800669503205 
697.4011789362071 -579.6941478631113 ; 691.604237457576 -586.6681596524734 
55.43829044695559 875.3386868451381 ; 64.19167731540698 874.7843039406686 
-1194.0649850558937 1363.438099871399 ; -1180.4306040571796 1375.3787497219578 
1599.3255544719173 -1104.400170620397 ; 1588.2815527657133 -1120.3934261651161 
-1257.670367833167 -508.7754553875384 ; -1262.7581223870422 -496.1987517092067 
1799.6138877237045 -249.3229744414253 ; 1797.1206579792902 -267.31911331866235 
-1612.5349888241358 830.8473669627606 ; -1604.2265151545082 846.9727168510019 
1138.3457843605447 961.5907949168985 ; 1147.9616923097137 950.207337073293 
-530.7616656072579 -35.85109069597812 ; -531.1201765142176 -30.543474039905544 
154.70970666079367 -1017.4227217602833 ; 144.53547944319084 -1018.9698188268912 
350.4432045802988 690.5244872869015 ; 357.3484494531678 687.0200552410985 
-1551.3906817502293 1700.9357895253668 ; -1534.3813238549756 1716.4496963428692 
-1768.1180565421457 1299.8844103240367 ; -1755.1192124389054 1317.5655908894582 
318.37800452324535 -371.7338568235052 ; 314.6606659550103 -374.9176368687377 
619.5868581251536 -726.9349719123458 ; 612.3175084060301 -733.1308404935972 
-1238.1508852032775 500.13781486196996 ; -1233.1495070546578 512.5193237140028 
873.629048481583 -356.4362354519299 ; 870.0646861270637 -365.1725259367457 
176.2412763753665 1686.3873075015726 ; 193.10514945038224 1684.624894737819 
1734.4505882849658 1640.06512483888 ; 1750.8512395333546 1622.7206189560302 
-1372.3520439444515 -1298.3025355108612 ; -1385.33506929956 -1284.5790150714167 
83.1494747359122 743.0123601152142 ; 90.57959833706434 742.1808653678551 
1580.1636689828533 481.31232473924814 ; 1584.9767922302458 465.5106880494196 
-531.423972628895 1073.846002598249 ; -520.6855126029125 1079.1602423245379 
-150.2654854997237 1503.6368144234202 ; -135.2291173554895 1505.1394692784174 
443.8385250784775 -1050.0149391303905 ; 433.3383756871736 -1054.4533243811752 
1353.2231631129782 1867.0129713937765 ; 1371.893292826916 1853.4807397626466 
